As of Date	Cusip	ISIN number	Description	Ticker	Country	Region	Currency	Coupon	Maturity Date	Face Value Local	Face Value USD	Market Value Local	Market Value USD	Weight	Rating	Effective Yield	Mod Duration
7/1/2021	057JTYXX	BRSTNCNTF147	Brazil (Federat	EMAD	BR	Emerging Markets	BRL	10	1/1/2023	124024.7	24716.7	142.4	28.4	1.89377	BB3	7.06	1.28
7/1/2021	05BRH0XX	US105756BN96	Brazil (Federat	EMAD	BR	Emerging Markets	BRL	10.25	1/10/2028	4764.8	949.6	5.4	1.1	0.07127	BB3	9.62	4.32
7/1/2021	05Q4PMXX	US105756BT66	Brazil (Federat	EMAD	BR	Emerging Markets	BRL	8.5	1/5/2024	3150	627.8	3.5	0.7	0.04698	BB3	7.43	2.07
7/1/2021	0G9AHYXX	BRSTNCNTF170	Secretaria Teso	EMAD	BR	Emerging Markets	BRL	10	1/1/2025	104968.2	20919	122.5	24.4	1.62894	BB3	6.39	2.89
7/1/2021	1ES8G9XX	BRSTNCNTF1P8	Secretaria Teso	EMAD	BR	Emerging Markets	BRL	10	1/1/2027	99624.8	19854.1	116.7	23.3	1.55137	BB3	7.34	4.14
7/1/2021	2LCWM8XX	BRSTNCNTF1Q6	Secretaria Teso	EMAD	BR	Emerging Markets	BRL	10	1/1/2029	59866.6	11930.7	70.3	14	0.93445	BB3	7.8	5.18
7/1/2021	312TBCXX	BRSTNCLTN7O0	Secretaria Teso	EMAD	BR	Emerging Markets	BRL	0	7/1/2022	110375.9	21996.6	111.1	22.1	1.47764	BB3	4.9	0.95
7/1/2021	3W08IMXX	BRSTNCLTN7Q5	Secretaria Teso	EMAD	BR	Emerging Markets	BRL	0	7/1/2023	137116.4	27325.7	125.1	24.9	1.66355	BB3	7.49	1.85
7/1/2021	4OJ8G9XX	BRSTNCLTN7S1	Secretaria Teso	EMAD	BR	Emerging Markets	BRL	0	1/1/2024	280908.7	55981.9	245.5	48.9	3.26509	BB3	7.76	2.31
7/1/2021	4PGCA3XX	BRSTNCNTF204	Secretaria Teso	EMAD	BR	Emerging Markets	BRL	10	1/1/2031	30275	6033.5	35.3	7	0.46918	BB3	8.2	6.04
7/1/2021	5BOP1UXX	BRSTNCLTN7V5	Secretaria Teso	EMAD	BR	Emerging Markets	BRL	0	10/1/2022	76591.1	15263.7	74.4	14.8	0.98914	BB3	6.82	1.18
7/1/2021	5XMLCUXX	BRSTNCLTN7W3	Secretaria Teso	EMAD	BR	Emerging Markets	BRL	0	7/1/2024	90563.6	18048.3	75.8	15.1	1.00854	BB3	7.95	2.76
7/1/2021	5TBB15XX	CL0002642776	Chile (Republic	EMAD	CL	Emerging Markets	CLP	2.8	10/1/2033	560000	769.1	922.6	1.3	0.08455	A2	4.75	9.9
7/1/2021	5TCQVPXX	CL0002642784	Chile (Republic	EMAD	CL	Emerging Markets	CLP	2.3	10/1/2028	1040000	1428.4	1839.4	2.5	0.16857	A2	4.19	6.5
7/1/2021	52X6TNXX	CL0002599166	Chile (Republic	EMAD	CL	Emerging Markets	CLP	2.5	3/1/2025	5581760	7666.1	10942.2	15	1.00275	A2	3.19	3.44
7/1/2021	3P733NXX	CL0002502871	Chile (Republic	EMAD	CL	Emerging Markets	CLP	5.1	7/15/2050	1170595	1607.7	2344.7	3.2	0.21487	A2	5.22	14.59
7/1/2021	0EX0JRXX	CL0001974774	Chile (Republic	EMAD	CL	Emerging Markets	CLP	6	1/1/2043	3247570	4460.3	7184.7	9.9	0.65841	A2	5.14	12.52
7/1/2021	0BLMRCXX	CL0001964791	Banco Central d	EMAD	CL	Emerging Markets	CLP	6	3/1/2023	245000	336.5	529.9	0.7	0.04856	A2	1.92	1.57
7/1/2021	07583UXX	CND100006RW2	China (People's	EMAD	CN	Emerging Markets	CNY	4.24	5/20/2063	20000	3095.3	1.8	0.3	0.01863	A1	3.7	20.57
7/1/2021	07589NXX	CND100006T03	China (People's	EMAD	CN	Emerging Markets	CNY	3.38	5/23/2023	90000	13928.8	7.4	1.1	0.07605	A1	2.56	1.82
7/1/2021	0EFSMBXX	CND100006Y63	China (People's	EMAD	CN	Emerging Markets	CNY	4.08	8/22/2023	111880	17315	9.4	1.5	0.09752	A1	2.35	2.02
7/1/2021	0EQR0ZXX	CND100006YT4	China (People's	EMAD	CN	Emerging Markets	CNY	4.76	9/16/2043	26000	4023.9	2.5	0.4	0.02595	A1	3.53	14.26
7/1/2021	0FWYL1XX	CND1000073G5	China (People's	EMAD	CN	Emerging Markets	CNY	5.31	11/18/2063	20000	3095.3	2.2	0.3	0.02248	A1	3.69	19.85
7/1/2021	0G594LXX	CND1000074G3	China (People's	EMAD	CN	Emerging Markets	CNY	5.05	12/9/2043	24000	3714.3	2.4	0.4	0.02436	A1	3.61	14.26
7/1/2021	0G594MXX	CND100006XS8	China (People's	EMAD	CN	Emerging Markets	CNY	4.32	8/12/2033	26000	4023.9	2.3	0.4	0.02413	A1	3.3	9.4
7/1/2021	0POWVSXX	CND100007GT9	China (People's	EMAD	CN	Emerging Markets	CNY	4.77	4/28/2034	26000	4023.9	2.5	0.4	0.02543	A1	3.15	9.79
7/1/2021	0S6051XX	CND100007KH6	China (People's	EMAD	CN	Emerging Markets	CNY	4.67	5/26/2064	26000	4023.9	2.5	0.4	0.02581	A1	3.77	20.27
7/1/2021	0OJJGPXX	CND100007B02	China (People's	EMAD	CN	Emerging Markets	CNY	4.42	3/20/2024	84970	13150.3	7.3	1.1	0.07523	A1	2.35	2.54
7/1/2021	0SRP5HXX	CND100007LS1	China (People's	EMAD	CN	Emerging Markets	CNY	4	6/19/2024	84010	13001.7	7	1.1	0.07272	A1	2.52	2.79
7/1/2021	0VX0N4XX	CND100007TW6	China (People's	EMAD	CN	Emerging Markets	CNY	4.13	9/18/2024	85790	13277.2	7.3	1.1	0.07556	A1	2.49	2.98
7/1/2021	0X5N53XX	CND100008028	China (People's	EMAD	CN	Emerging Markets	CNY	4.3	10/27/2044	26000	4023.9	2.4	0.4	0.02452	A1	3.49	15.12
7/1/2021	0YB82TXX	CND100007Y88	China (People's	EMAD	CN	Emerging Markets	CNY	4.24	11/24/2064	26000	4023.9	2.3	0.4	0.02397	A1	3.74	20.78
7/1/2021	0Z8PB3XX	CND100008127	China (People's	EMAD	CN	Emerging Markets	CNY	3.77	12/18/2024	68240	10561.1	5.7	0.9	0.05867	A1	2.69	3.24
7/1/2021	13N0C8XX	CND1000084C1	China (People's	EMAD	CN	Emerging Markets	CNY	3.64	4/9/2025	90320	13978.3	7.5	1.2	0.0779	A1	2.77	3.49
7/1/2021	144B10XX	CND1000087R2	China (People's	EMAD	CN	Emerging Markets	CNY	4.09	4/27/2035	26000	4023.9	2.3	0.4	0.02351	A1	3.35	10.59
7/1/2021	0UAEILXX	CND100007QV4	China (People's	EMAD	CN	Emerging Markets	CNY	4.76	7/24/2044	26000	4023.9	2.5	0.4	0.02589	A1	3.61	14.47
7/1/2021	0UTQTVXX	CND100007QP6	China (People's	EMAD	CN	Emerging Markets	CNY	4.63	8/11/2034	26000	4023.9	2.4	0.4	0.02505	A1	3.28	9.89
7/1/2021	15480UXX	CND100008B01	China (People's	EMAD	CN	Emerging Markets	CNY	3.99	5/25/2065	26000	4023.9	2.3	0.3	0.02327	A1	3.65	21.35
7/1/2021	16VNJ9XX	CND100008MS7	China (People's	EMAD	CN	Emerging Markets	CNY	3.3	7/9/2022	90040	13935	7.5	1.2	0.07772	A1	2.42	0.97
7/1/2021	17A5LHXX	CND100008MV1	China (People's	EMAD	CN	Emerging Markets	CNY	3.51	7/16/2025	90000	13928.8	7.5	1.2	0.07778	A1	2.83	3.7
7/1/2021	17OC6EXX	CND100008MW9	China (People's	EMAD	CN	Emerging Markets	CNY	3.94	7/27/2045	26000	4023.9	2.2	0.3	0.02297	A1	3.64	15.44
7/1/2021	1A5DJPXX	CND100008T84	China (People's	EMAD	CN	Emerging Markets	CNY	3.74	9/22/2035	26000	4023.9	2.2	0.3	0.02267	A1	3.38	10.94
7/1/2021	1BCTZ0XX	CND100008YC6	China (People's	EMAD	CN	Emerging Markets	CNY	2.99	10/15/2025	104000	16095.5	8.4	1.3	0.08696	A1	2.96	3.98
7/1/2021	1BHYMHXX	CND100008YF9	China (People's	EMAD	CN	Emerging Markets	CNY	3.74	10/20/2045	26000	4023.9	2.1	0.3	0.02212	A1	3.63	15.85
7/1/2021	1BNIRNXX	CND100008Z52	China (People's	EMAD	CN	Emerging Markets	CNY	3.05	10/22/2022	104010	16097	8.6	1.3	0.0887	A1	2.52	1.25
7/1/2021	1CTCR4XX	CND1000095N4	China (People's	EMAD	CN	Emerging Markets	CNY	3.89	11/23/2065	26000	4023.9	2.2	0.3	0.02283	A1	3.65	21.55
7/1/2021	2I8HUOXX	CND10000L4H0	China (People's	EMAD	CN	Emerging Markets	CNY	3.9	12/21/2024	66220	10248.5	5.7	0.9	0.05839	A1	2.59	3.18
7/1/2021	2N2MNVXX	CND10000L610	China (People's	EMAD	CN	Emerging Markets	CNY	3.81	1/18/2023	60000	9285.8	5	0.8	0.05169	A1	2.37	1.48
7/1/2021	2OOQUZXX	CND10000L6K9	China (People's	EMAD	CN	Emerging Markets	CNY	3.85	2/1/2028	69000	10678.7	5.9	0.9	0.06128	A1	2.92	5.73
7/1/2021	2CIJ7VXX	CND10000J7P0	China (People's	EMAD	CN	Emerging Markets	CNY	3.69	9/21/2024	108950	16861.5	9.3	1.4	0.09578	A1	2.64	2.94
7/1/2021	2DZSSDXX	CND10000JD29	China (People's	EMAD	CN	Emerging Markets	CNY	3.73	10/19/2022	95210	14735.1	8	1.2	0.08242	A1	2.35	1.24
7/1/2021	2E3TIIXX	CND10000JH82	China (People's	EMAD	CN	Emerging Markets	CNY	4.28	10/23/2047	77710	12026.7	6.9	1.1	0.07149	A1	3.68	16.14
7/1/2021	2EQN5LXX	CND10000JJ72	China (People's	EMAD	CN	Emerging Markets	CNY	3.82	11/2/2027	78280	12114.9	6.7	1	0.06881	A1	2.9	5.6
7/1/2021	2FNXHPXX	CND10000JPZ5	China (People's	EMAD	CN	Emerging Markets	CNY	4.37	11/20/2067	29370	4545.4	2.7	0.4	0.02767	A1	3.77	21.15
